table_name,column_name
estimate,SpecCode
estimate,MaxLengthTL
estimate,TLObserved
estimate,Troph
estimate,seTroph
estimate,TrophObserved
estimate,TrophPredicted
estimate,seTrophPredicted
estimate,a
estimate,sd_log10a
estimate,b
estimate,sd_b
estimate,Method_ab
estimate,K
estimate,SD_logK
estimate,Linf
estimate,SD_logLinf
estimate,LengthType
estimate,ComDepthMin
estimate,ComDepthMax
estimate,ComDepMinObserved
estimate,ComDepMaxObserved
estimate,DepthMin
estimate,DepthMax
estimate,DepthMinEstimate
estimate,DepthMaxEstimate
estimate,LastModified
estimate,MaxLengthSL
estimate,KObserved
