TABLE_NAME,COLUMN_NAME
fecundity,autoctr
fecundity,StockCode
fecundity,SpecCode
fecundity,MainRefNo
fecundity,SourceRef
fecundity,C_Code
fecundity,E_CODE
fecundity,Locality
fecundity,FecundityMin
fecundity,WeightMin
fecundity,LengthFecunMin
fecundity,LengthTypeFecMin
fecundity,FecundityMax
fecundity,WeightMax
fecundity,LengthFecunMax
fecundity,LengthTypeFecMax
fecundity,FecComment
fecundity,FecundityRef
fecundity,RelFecundityMin
fecundity,FecunMinRef
fecundity,RelFecundityMean
fecundity,FecunMeanRef
fecundity,RelFecundityMax
fecundity,FecunMaxRef
fecundity,LengthMin
fecundity,LengthMax
fecundity,LengthType
fecundity,Number
fecundity,a
fecundity,b
fecundity,r2
fecundity,SEa
fecundity,SEb
fecundity,SDa
fecundity,SDb
fecundity,LCLa
fecundity,UCLa
fecundity,LCLb
fecundity,UCLb
fecundity,SpawningCycles
fecundity,SpCycleRef
fecundity,AddInfos
fecundity,Entered
fecundity,Dateentered
fecundity,Modified
fecundity,Datemodified
fecundity,Expert
fecundity,Datechecked
fecundity,autoctr_spawn
