table_name,column_name
countrymatrix_09,autoctr
countrymatrix_09,Genus
countrymatrix_09,Species
countrymatrix_09,Status
countrymatrix_09,Repro
countrymatrix_09,Spawning
countrymatrix_09,Larvae
countrymatrix_09,Eggs
countrymatrix_09,Maturity
countrymatrix_09,MaxLength
countrymatrix_09,Growth
countrymatrix_09,Mortality
countrymatrix_09,LengthWt
countrymatrix_09,Ecology
countrymatrix_09,Food
countrymatrix_09,Diet
countrymatrix_09,Predator
countrymatrix_09,Genetics
countrymatrix_09,Pictures
countrymatrix_09,Speccode
