table_name,column_name
esortfaocatchestoo,FAO
esortfaocatchestoo,Scientific
esortfaocatchestoo,Country
esortfaocatchestoo,SpecCode
esortfaocatchestoo,ISSCAAP
esortfaocatchestoo,C_Code
esortfaocatchestoo,Arecode
esortfaocatchestoo,AreaCode
esortfaocatchestoo,Area
esortfaocatchestoo,s1950
esortfaocatchestoo,s1951
esortfaocatchestoo,s1952
esortfaocatchestoo,s1953
esortfaocatchestoo,s1954
esortfaocatchestoo,s1955
esortfaocatchestoo,s1956
esortfaocatchestoo,s1957
esortfaocatchestoo,s1958
esortfaocatchestoo,s1959
esortfaocatchestoo,s1960
esortfaocatchestoo,s1961
esortfaocatchestoo,s1962
esortfaocatchestoo,s1963
esortfaocatchestoo,s1964
esortfaocatchestoo,s1965
esortfaocatchestoo,s1966
esortfaocatchestoo,s1967
esortfaocatchestoo,s1968
esortfaocatchestoo,s1969
esortfaocatchestoo,s1970
esortfaocatchestoo,s1971
esortfaocatchestoo,s1972
esortfaocatchestoo,s1973
esortfaocatchestoo,s1974
esortfaocatchestoo,s1975
esortfaocatchestoo,s1976
esortfaocatchestoo,s1977
esortfaocatchestoo,s1978
esortfaocatchestoo,s1979
esortfaocatchestoo,s1980
esortfaocatchestoo,s1981
esortfaocatchestoo,s1982
esortfaocatchestoo,s1983
esortfaocatchestoo,s1984
esortfaocatchestoo,s1985
esortfaocatchestoo,s1986
esortfaocatchestoo,s1987
esortfaocatchestoo,s1988
esortfaocatchestoo,s1989
esortfaocatchestoo,s1990
esortfaocatchestoo,s1991
esortfaocatchestoo,s1992
esortfaocatchestoo,s1993
esortfaocatchestoo,s1994
esortfaocatchestoo,s1995
esortfaocatchestoo,s1996
esortfaocatchestoo,s1997
esortfaocatchestoo,s1998
esortfaocatchestoo,s1999
esortfaocatchestoo,s2000
esortfaocatchestoo,s2001
esortfaocatchestoo,s2002
esortfaocatchestoo,s2003
esortfaocatchestoo,s2004
esortfaocatchestoo,s2005
esortfaocatchestoo,s2006
esortfaocatchestoo,s2007
esortfaocatchestoo,s2008
esortfaocatchestoo,s2009
esortfaocatchestoo,s2010
esortfaocatchestoo,s2011
