table_name,column_name
expeditions,autoctr
expeditions,Expedition
expeditions,Captain
expeditions,Scientist
expeditions,Vessel
expeditions,Length
expeditions,StartDate
expeditions,StartYear
expeditions,StartLocation
expeditions,StartCountry
expeditions,EndDate
expeditions,EndYear
expeditions,EndLocation
expeditions,EndCountry
expeditions,StartLatitudeDeg
expeditions,StartLatitudeMin
expeditions,StartNorthSouth
expeditions,StartLongitudeDeg
expeditions,StartLongitudeMin
expeditions,StartEastWest
expeditions,EndLatitudeDeg
expeditions,EndLatitudeMin
expeditions,EndNorthSouth
expeditions,EndLongitudeDeg
expeditions,EndLongitudeMin
expeditions,EndEastWest
expeditions,NarrativeRef
expeditions,FishRef
expeditions,CASRef
expeditions,Remarks
expeditions,CountriesCovered
expeditions,SpecimensCol
expeditions,SpeciesCol
expeditions,FamiliesCol
expeditions,MarBrack
expeditions,Freshwater
expeditions,FBCoverage
expeditions,Entered
expeditions,DateEntered
expeditions,Modified
expeditions,DateModified
expeditions,Expert
expeditions,DateChecked
expeditions,TS
