table_name,column_name
picturesmain,autoctr
picturesmain,SpecCode
picturesmain,PicGenus
picturesmain,PicSpecies
picturesmain,SynCode
picturesmain,PicName
picturesmain,Scanned
picturesmain,PictureType
picturesmain,Rank
picturesmain,BestPic
picturesmain,Score
picturesmain,Occurrence
picturesmain,CDROM
picturesmain,LifeStage
picturesmain,Size
picturesmain,LengthType
picturesmain,Size2
picturesmain,LenghtType2
picturesmain,Locality
picturesmain,Province
picturesmain,LatDeg
picturesmain,LatMin
picturesmain,NorthSouth
picturesmain,LongDeg
picturesmain,LongMin
picturesmain,EastWest
picturesmain,Depth
picturesmain,Remark
picturesmain,Date
picturesmain,C_Code
picturesmain,AuthName
picturesmain,Reference
picturesmain,PageCode
picturesmain,URL
picturesmain,LogoFile
picturesmain,Copyright
picturesmain,Comment
picturesmain,PublicDomain
picturesmain,NewPic
picturesmain,PicPreferred
picturesmain,PicPreferredMale
picturesmain,PicPreferredFem
picturesmain,PicPreferredJuv
picturesmain,Aquamaps
picturesmain,Entered
picturesmain,Dateentered
picturesmain,Modified
picturesmain,Datemodified
picturesmain,Expert
picturesmain,Datechecked
picturesmain,TS
