table_name,column_name
stocks.orig,StockCode
stocks.orig,StockDefs
stocks.orig,SpecCode
stocks.orig,Level
stocks.orig,LocalUnique
stocks.orig,IUCN_Code
stocks.orig,IUCN_Assessment
stocks.orig,Protected
stocks.orig,StocksRefNo
stocks.orig,CITES_Code
stocks.orig,CITES_Date
stocks.orig,CITES_Ref
stocks.orig,CITES_Remarks
stocks.orig,Northernmost
stocks.orig,NorthSouthN
stocks.orig,Southermost
stocks.orig,NorthSouthS
stocks.orig,Westernmost
stocks.orig,WestEastW
stocks.orig,Easternmost
stocks.orig,WestEastE
stocks.orig,BoundingRef
stocks.orig,BoundingMethod
stocks.orig,TempMin
stocks.orig,TempMax
stocks.orig,TempRef
stocks.orig,EnvTemp
stocks.orig,Resilience
stocks.orig,ResilienceRemark
stocks.orig,pHMin
stocks.orig,pHMax
stocks.orig,pHRef
stocks.orig,dHMin
stocks.orig,dHMax
stocks.orig,dHRef
stocks.orig,GenBankID
stocks.orig,RfeID
stocks.orig,FIGIS_ID
stocks.orig,EcotoxID
stocks.orig,LifeMapper
stocks.orig,SCRFA_data
stocks.orig,GMAD_ID
stocks.orig,SAUP
stocks.orig,SAUP_ID
stocks.orig,SAUP_Group
stocks.orig,AusMuseum
stocks.orig,FishTrace
stocks.orig,IUCN_ID
stocks.orig,IUCN_Group
stocks.orig,EssayID
stocks.orig,Morphology
stocks.orig,Occurrence
stocks.orig,Strains
stocks.orig,Ecology
stocks.orig,Diseases
stocks.orig,Abnorm
stocks.orig,Metabolism
stocks.orig,Predators
stocks.orig,Spawning
stocks.orig,Fecundity
stocks.orig,Speed
stocks.orig,Diet
stocks.orig,Eggs
stocks.orig,EggDevelop
stocks.orig,Food
stocks.orig,Larvae
stocks.orig,LarvDyn
stocks.orig,LarvSpeed
stocks.orig,PopDyn
stocks.orig,LengthWeight
stocks.orig,Gillarea
stocks.orig,Maturity
stocks.orig,MatSizes
stocks.orig,Processing
stocks.orig,Reproduction
stocks.orig,Introductions
stocks.orig,Abundance
stocks.orig,Vision
stocks.orig,Genetics
stocks.orig,Aquaculture
stocks.orig,CountryComp
stocks.orig,Allele
stocks.orig,GeneticStudies
stocks.orig,Ration
stocks.orig,Foods
stocks.orig,Ecotoxicology
stocks.orig,Catches
stocks.orig,FAOAqua
stocks.orig,LengthRelations
stocks.orig,LengthFrequency
stocks.orig,Sounds
stocks.orig,Broodstock
stocks.orig,EggNursery
stocks.orig,FryNursery
stocks.orig,LarvalNursery
stocks.orig,Entered
stocks.orig,DateEntered
stocks.orig,Modified
stocks.orig,DateModified
stocks.orig,Expert
stocks.orig,DateChecked
stocks.orig,BBox_Entered
stocks.orig,BBox_Date
stocks.orig,E_Append
stocks.orig,E_DateAppend
stocks.orig,TS
