table_name,column_name
morphmet,autoctr
morphmet,PicName
morphmet,Speccode
morphmet,TL
morphmet,SL
morphmet,FL
morphmet,HL
morphmet,PAL
morphmet,PDL
morphmet,PPL
morphmet,PPEL
morphmet,ED
morphmet,POL
morphmet,BD
morphmet,CH
morphmet,CA
morphmet,SnoutTipX
morphmet,SnoutTipY
morphmet,CaudalOriginX
morphmet,CaudalOriginY
morphmet,TLEndX
morphmet,TLEndY
morphmet,DorsalOriginX
morphmet,DorsalOriginY
morphmet,AnalOriginX
morphmet,AnalOriginY
morphmet,EyeFrontX
morphmet,EyeFrontY
morphmet,EyeEndX
morphmet,EyeEndY
morphmet,OpercleEndX
morphmet,OpercleEndY
morphmet,MaxDepthDorsalX
morphmet,MaxDepthDorsalY
morphmet,MaxDepthVentralX
morphmet,MaxDepthVentralY
morphmet,PectoralOriginX
morphmet,PectoralOriginY
morphmet,PelvicOriginX
morphmet,PelvicOriginY
morphmet,FLEndX
morphmet,FLEndY
morphmet,CaudalUpperX
morphmet,CaudalUpperY
morphmet,CaudalLowerX
morphmet,CaudalLowerY
morphmet,AspectRatio
morphmet,Doubtful
morphmet,Remarks
morphmet,Entered
morphmet,DateEntered
morphmet,Modified
morphmet,DateModified
morphmet,Expert
morphmet,DateChecked
morphmet,TS
